name,address,country
Aberdeen City Council,"Marischal College, Broad Street, Aberdeen, AB10 1AB",Scotland
Aberdeenshire Council,"Woodhill House, Westburn Road, Aberdeen, AB16 5GB",Scotland
Angus Council,"Angus House, Orchardbank Business Park, Forfar, DD8 1AX",Scotland
Argyll and Bute Council,"Kilmory, Lochgilphead, PA31 8RT",Scotland
City of Edinburgh Council,"Waverley Court, 4 East Market Street, Edinburgh, EH8 8BG",Scotland
Clackmannanshire Council,"Kilncraigs, Greenside Street, Alloa, FK10 1EB",Scotland
Comhairle nan Eilean Siar,"Council Offices, Sandwick Road, Stornoway, HS1 2BW",Scotland
Dumfries and Galloway Council,"Council Offices, English Street, Dumfries, DG1 2DD",Scotland
Dundee City Council,"Dundee House, 50 North Lindsay Street, Dundee, DD1 1LS",Scotland
East Ayrshire Council,"Council Headquarters, London Road, Kilmarnock, KA3 7BU",Scotland
East Dunbartonshire Council,"12 Strathkelvin Place, Southbank Marina, Kirkintilloch, Glasgow, G66 1TJ",Scotland
East Lothian Council,"John Muir House, Brewery Park, Haddington, EH41 3HA",Scotland
East Renfrewshire Council,"Eastwood Park, Rouken Glen Road, Giffnock, Glasgow, G46 6UG",Scotland
Falkirk Council,"Municipal Buildings, West Bridge Street, Falkirk, FK1 5RS",Scotland
Fife Council,"Fife House, North Street, Glenrothes, KY7 5LT",Scotland
Glasgow City Council,"City Chambers, George Square, Glasgow, G2 1DU",Scotland
Inverclyde Council,"Municipal Buildings, Clyde Square, Greenock, PA15 1LY",Scotland
Midlothian Council,"Midlothian House, 40-46 Buccleuch Street, Dalkeith, EH22 1DN",Scotland
North Ayrshire Council,"Cunninghame House, Friars Croft, Irvine, KA12 8EE",Scotland
North Lanarkshire Council,"Civic Centre, Windmillhill Street, Motherwell, ML1 1AB",Scotland
Orkney Islands Council,"Council Offices, School Place, Kirkwall, KW15 1NY",Scotland
Perth and Kinross Council,"2 High Street, Perth, PH1 5PH",Scotland
Renfrewshire Council,"Renfrewshire House, Cotton Street, Paisley, PA1 1WB",Scotland
Scottish Borders Council,"Council Headquarters, Newtown St Boswells, Melrose, TD6 0SA",Scotland
Shetland Islands Council,"8 North Ness, Lerwick, Shetland, ZE1 0LZ",Scotland
South Ayrshire Council,"County Buildings, Wellington Square, Ayr, KA7 1DR",Scotland
South Lanarkshire Council,"Council Offices, Almada Street, Hamilton, ML3 0AA",Scotland
Stirling Council,"Old Viewforth, 14-20 Pitt Terrace, Stirling, FK8 2ET",Scotland
The Highland Council,"Council Headquarters, Glenurquhart Road, Inverness, IV3 5NX",Scotland
The Moray Council,"Council Office, High Street, Elgin, IV30 1BX",Scotland
West Dunbartonshire Council,"Council Offices, 16 Church Street, Dumbarton, G82 1QL",Scotland
West Lothian Council,"West Lothian Civic Centre, Howden South Road, Livingston, EH54 6FF",Scotland
Barking and Dagenham London Borough Council,"Barking Town Hall, 1 Town Square, Barking, IG11 7LU",England
Barnet London Borough Council,"2 Bristol Avenue, Colindale, London, NW9 4EW",England
Barnsley Metropolitan Borough Council,"Town Hall, Church Street, Barnsley, S70 2TA",England
Bath and North East Somerset Council,"Guildhall, High Street, Bath, BA1 5AW",England
Bedford Borough Council,"Borough Hall, Cauldwell Street, Bedford, MK42 9AP",England
Bexley London Borough Council,"Civic Offices, 2 Watling Street, Bexleyheath, DA6 7AT",England
Birmingham City Council,"Council House, Victoria Square, Birmingham, B1 1BB",England
Blackburn with Darwen Borough Council,"Town Hall, King William Street, Blackburn, BB1 7DY",England
Blackpool Council,"Number One Bickerstaffe Square, Talbot Road, Blackpool, FY1 3AH",England
Bolton Council,"Town Hall, Victoria Square, Bolton, BL1 1RU",England
"Bournemouth, Christchurch and Poole Council","BCP Civic Centre, Bourne Avenue, Bournemouth, BH2 6DY",England
Bracknell Forest Council,"Time Square, Market Street, Bracknell, RG12 1JD",England
Bradford Metropolitan District Council,"City Hall, Centenary Square, Bradford, BD1 1HY",England
Brent London Borough Council,"Brent Civic Centre, Engineers Way, Wembley, HA9 0FJ",England
Brighton and Hove City Council,"Hove Town Hall, Norton Road, Hove, BN3 3BQ",England
Bristol City Council,"City Hall, College Green, Bristol, BS1 5TR",England
Bromley London Borough Council,"Churchill Court, 2 Westmoreland Road, Bromley, BR1 1AS",England
Buckinghamshire Council,"The Gateway, Gatehouse Road, Aylesbury, HP19 8FF",England
Bury Council,"Town Hall, Knowsley Street, Bury, BL9 0SW",England
Calderdale Council,"Town Hall, Crossley Street, Halifax, HX1 1UJ",England
Cambridgeshire County Council,"New Shire Hall, Emery Crescent, Enterprise Campus, Alconbury Weald, Huntingdon, PE28 4YE",England
Camden London Borough Council,"5 Pancras Square, London, N1C 4AG",England
Central Bedfordshire Council,"Priory House, Monks Walk, Chicksands, Shefford, SG17 5TQ",England
Cheshire East Council,"Delamere House, Delamere Street, Crewe, CW1 2LL",England
Cheshire West and Chester Council,"58 Nicholas Street, Chester, CH1 2NP",England
City of Doncaster Council,"Civic Office, Waterdale, Doncaster, DN1 3BU",England
City of London Corporation,"Guildhall, Gresham Street, London, EC2V 7HH",England
City of Wolverhampton Council,"Civic Centre, St Peter's Square, Wolverhampton, WV1 1SH",England
City of York Council,"West Offices, Station Rise, York, YO1 6GA",England
Cornwall Council,"New County Hall, Treyew Road, Truro, TR1 3AY",England
Council of the Isles of Scilly,"Town Hall, The Parade, St Mary's, Isles of Scilly, TR21 0LW",England
Coventry City Council,"Council House, Earl Street, Coventry, CV1 5RR",England
Croydon London Borough Council,"Bernard Weatherill House, 8 Mint Walk, Croydon, CR0 1EA",England
Cumberland Council,"Cumbria House, 117 Botchergate, Carlisle, CA1 1RD",England
Darlington Borough Council,"Town Hall, Feethams, Darlington, DL1 5QT",England
Derby City Council,"Council House, Corporation Street, Derby, DE1 2FS",England
Derbyshire County Council,"County Hall, Matlock, DE4 3AG",England
Devon County Council,"County Hall, Topsham Road, Exeter, EX2 4QD",England
Dorset Council,"County Hall, Colliton Park, Dorchester, DT1 1XJ",England
Dudley Metropolitan Borough Council,"The Council House, Priory Road, Dudley, DY1 1HF",England
Durham County Council,"County Hall, Aykley Heads, Durham, DH1 5UL",England
Ealing London Borough Council,"Perceval House, 14-16 Uxbridge Road, Ealing, London, W5 2HL",England
East Riding of Yorkshire Council,"County Hall, Cross Street, Beverley, HU17 9BA",England
East Sussex County Council,"County Hall, St Anne's Crescent, Lewes, BN7 1UE",England
Enfield London Borough Council,"Civic Centre, Silver Street, Enfield, EN1 3XA",England
Essex County Council,"County Hall, Market Road, Chelmsford, CM1 1QH",England
Gateshead Council,"Civic Centre, Regent Street, Gateshead, NE8 1HH",England
Gloucestershire County Council,"Shire Hall, Westgate Street, Gloucester, GL1 2TG",England
Greenwich Royal Borough Council,"Woolwich Town Hall, Wellington Street, Woolwich, London, SE18 6PW",England
Hackney London Borough Council,"Hackney Town Hall, Mare Street, London, E8 1EA",England
Halton Borough Council,"Municipal Building, Kingsway, Widnes, WA8 7QF",England
Hammersmith and Fulham London Borough Council,"Town Hall, King Street, Hammersmith, London, W6 9JU",England
Hampshire County Council,"The Castle, Castle Avenue, Winchester, SO23 8UJ",England
Haringey London Borough Council,"Haringey Civic Centre, 255 High Road, Wood Green, London, N22 8LE",England
Harrow London Borough Council,"Forward Drive, Harrow, HA3 8NT",England
Hartlepool Borough Council,"Civic Centre, Victoria Road, Hartlepool, TS24 8AY",England
Havering London Borough Council,"Town Hall, Main Road, Romford, RM1 3BB",England
Herefordshire Council,"Plough Lane, Hereford, HR4 0LE",England
Hertfordshire County Council,"Robertson House, Six Hills Way, Stevenage, SG1 2FQ",England
Hillingdon London Borough Council,"Civic Centre, High Street, Uxbridge, UB8 1UW",England
Hounslow London Borough Council,"Hounslow House, 7 Bath Road, Hounslow, TW3 3EB",England
Isle of Wight Council,"County Hall, High Street, Newport, PO30 1UD",England
Islington London Borough Council,"Town Hall, Upper Street, London, N1 2UD",England
Kensington and Chelsea Royal Borough Council,"Kensington Town Hall, Hornton Street, London, W8 7NX",England
Kent County Council,"County Hall, Sandling Road, Maidstone, ME14 1XQ",England
Kingston upon Hull City Council,"The Guildhall, Alfred Gelder Street, Hull, HU1 2AA",England
Kingston upon Thames Royal Borough Council,"Guildhall, High Street, Kingston upon Thames, KT1 1EU",England
Kirklees Council,"Civic Centre 3, Market Street, Huddersfield, HD1 2EY",England
Knowsley Metropolitan Borough Council,"Municipal Buildings, Archway Road, Huyton, L36 9YU",England
Lambeth London Borough Council,"Lambeth Civic Centre, 6 Brixton Hill, London, SW2 1EG",England
Lancashire County Council,"County Hall, Fishergate, Preston, PR1 8XJ",England
Leeds City Council,"Civic Hall, Calverley Street, Leeds, LS1 1UR",England
Leicester City Council,"City Hall, 115 Charles Street, Leicester, LE1 1FZ",England
Leicestershire County Council,"County Hall, Glenfield, Leicester, LE3 8RA",England
Lewisham London Borough Council,"Laurence House, 1 Catford Road, London, SE6 4RU",England
Lincolnshire County Council,"County Offices, Newland, Lincoln, LN1 1YL",England
Liverpool City Council,"Cunard Building, Water Street, Liverpool, L3 1AH",England
Luton Borough Council,"Town Hall, George Street, Luton, LU1 2BQ",England
Manchester City Council,"Town Hall, Albert Square, Manchester, M2 5DB",England
Medway Council,"Gun Wharf, Dock Road, Chatham, ME4 4TR",England
Merton London Borough Council,"Merton Civic Centre, London Road, Morden, SM4 5DX",England
Middlesbrough Council,"Town Hall, Albert Road, Middlesbrough, TS1 2QJ",England
Milton Keynes City Council,"Civic Offices, 1 Saxon Gate East, Milton Keynes, MK9 3EJ",England
Newcastle upon Tyne City Council,"Civic Centre, Barras Bridge, Newcastle upon Tyne, NE1 8QH",England
Newham London Borough Council,"Newham Dockside, 1000 Dockside Road, London, E16 2QU",England
Norfolk County Council,"County Hall, Martineau Lane, Norwich, NR1 2DH",England
North East Lincolnshire Council,"Municipal Offices, Town Hall Square, Grimsby, DN31 1HU",England
North Lincolnshire Council,"Civic Centre, Ashby Road, Scunthorpe, DN16 1AB",England
North Northamptonshire Council,"Corby Cube, George Street, Corby, NN17 1QG",England
North Somerset Council,"Town Hall, Walliscote Grove Road, Weston-super-Mare, BS23 1UJ",England
North Tyneside Council,"Quadrant, The Silverlink North, Cobalt Business Park, North Tyneside, NE27 0BY",England
North Yorkshire Council,"County Hall, Racecourse Lane, Northallerton, DL7 8AD",England
Northumberland County Council,"County Hall, Morpeth, NE61 2EF",England
Nottingham City Council,"Loxley House, Station Street, Nottingham, NG2 3NG",England
Nottinghamshire County Council,"County Hall, Loughborough Road, West Bridgford, Nottingham, NG2 7QP",England
Oldham Council,"Civic Centre, West Street, Oldham, OL1 1UT",England
Oxfordshire County Council,"County Hall, New Road, Oxford, OX1 1ND",England
Peterborough City Council,"Sand Martin House, Bittern Way, Fletton Quays, Peterborough, PE2 8TY",England
Plymouth City Council,"Civic Centre, Armada Way, Plymouth, PL1 2AA",England
Portsmouth City Council,"Civic Offices, Guildhall Square, Portsmouth, PO1 2AL",England
Reading Borough Council,"Civic Offices, Bridge Street, Reading, RG1 2LU",England
Redbridge London Borough Council,"Town Hall, 128-142 High Road, Ilford, IG1 1DD",England
Redcar and Cleveland Borough Council,"Redcar and Cleveland House, Kirkleatham Street, Redcar, TS10 1RT",England
Richmond upon Thames London Borough Council,"Civic Centre, 44 York Street, Twickenham, TW1 3BZ",England
Rochdale Borough Council,"Number One Riverside, Smith Street, Rochdale, OL16 1XU",England
Rotherham Metropolitan Borough Council,"Riverside House, Main Street, Rotherham, S60 1AE",England
Rutland County Council,"Catmose, Oakham, LE15 6HP",England
Salford City Council,"Salford Civic Centre, Chorley Road, Swinton, M27 5AW",England
Sandwell Metropolitan Borough Council,"Sandwell Council House, Freeth Street, Oldbury, B69 3DE",England
Sefton Council,"Bootle Town Hall, Oriel Road, Bootle, L20 7AE",England
Sheffield City Council,"Town Hall, Pinstone Street, Sheffield, S1 2HH",England
Shropshire Council,"Shirehall, Abbey Foregate, Shrewsbury, SY2 6ND",England
Slough Borough Council,"Observatory House, 25 Windsor Road, Slough, SL1 2EL",England
Solihull Metropolitan Borough Council,"Council House, Manor Square, Solihull, B91 3QB",England
Somerset Council,"County Hall, The Crescent, Taunton, TA1 4DY",England
South Gloucestershire Council,"Council Offices, Badminton Road, Yate, Bristol, BS37 5AF",England
South Tyneside Council,"Town Hall, Westoe Road, South Shields, NE33 2RL",England
Southampton City Council,"Civic Centre, Civic Centre Road, Southampton, SO14 7LY",England
Southend-on-Sea City Council,"Civic Centre, Victoria Avenue, Southend-on-Sea, SS2 6ER",England
Southwark London Borough Council,"160 Tooley Street, London, SE1 2QH",England
St Helens Borough Council,"Town Hall, Victoria Square, St Helens, WA10 1HP",England
Staffordshire County Council,"County Buildings, Martin Street, Stafford, ST16 2LH",England
Stockport Metropolitan Borough Council,"Town Hall, Edward Street, Stockport, SK1 3XE",England
Stockton-on-Tees Borough Council,"Municipal Buildings, Church Road, Stockton-on-Tees, TS18 1LD",England
Stoke-on-Trent City Council,"Civic Centre, Glebe Street, Stoke-on-Trent, ST4 1HH",England
Suffolk County Council,"Endeavour House, 8 Russell Road, Ipswich, IP1 2BX",England
Sunderland City Council,"City Hall, Plater Way, Sunderland, SR1 3AA",England
Surrey County Council,"Woodhatch Place, 11 Cockshot Hill, Reigate, RH2 8EF",England
Sutton London Borough Council,"Civic Offices, St Nicholas Way, Sutton, SM1 1EA",England
Swindon Borough Council,"Civic Offices, Euclid Street, Swindon, SN1 2JH",England
Tameside Metropolitan Borough Council,"Tameside One, Market Place, Ashton-under-Lyne, OL6 6BH",England
Telford and Wrekin Council,"Addenbrooke House, Ironmasters Way, Telford, TF3 4NT",England
Thurrock Council,"Civic Offices, New Road, Grays, RM17 6SL",England
Torbay Council,"Town Hall, Castle Circus, Torquay, TQ1 3DR",England
Tower Hamlets London Borough Council,"Town Hall, 160 Whitechapel Road, London, E1 1BJ",England
Trafford Council,"Trafford Town Hall, Talbot Road, Stretford, M32 0TH",England
Wakefield Council,"Town Hall, Wood Street, Wakefield, WF1 2HQ",England
Walsall Council,"Civic Centre, Darwall Street, Walsall, WS1 1TP",England
Waltham Forest London Borough Council,"Waltham Forest Town Hall, Forest Road, London, E17 4JF",England
Wandsworth London Borough Council,"The Town Hall, Wandsworth High Street, London, SW18 2PU",England
Warrington Borough Council,"New Town House, Buttermarket Street, Warrington, WA1 2NH",England
Warwickshire County Council,"Shire Hall, Northgate Street, Warwick, CV34 4RL",England
West Berkshire Council,"Council Offices, Market Street, Newbury, RG14 5LD",England
West Northamptonshire Council,"One Angel Square, Angel Street, Northampton, NN1 1ED",England
West Sussex County Council,"County Hall, West Street, Chichester, PO19 1RQ",England
Westminster City Council,"Westminster City Hall, 64 Victoria Street, London, SW1E 6QP",England
Westmorland and Furness Council,"South Lakeland House, Lowther Street, Kendal, LA9 4DQ",England
Wigan Council,"Town Hall, Library Street, Wigan, WN1 1YN",England
Wiltshire Council,"County Hall, Bythesea Road, Trowbridge, BA14 8JN",England
Windsor and Maidenhead Royal Borough Council,"Town Hall, St Ives Road, Maidenhead, SL6 1RF",England
Wirral Metropolitan Borough Council,"Wallasey Town Hall, Brighton Street, Wallasey, CH44 8ED",England
Wokingham Borough Council,"Civic Offices, Shute End, Wokingham, RG40 1BN",England
Worcestershire County Council,"County Hall, Spetchley Road, Worcester, WR5 2NP",England
